rnbq1rk1/pp2ppbp/3p1np1/2p5/2PPP3/4BP2/PP2N1PP/RN1QKB1R w KQ - 0 7 | d1d2 b1c3
r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4 | b5a4 b5c6
r1bqkbnr/1ppp1ppp/p1n5/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 4 | g8f6 d7d6 f8e7 g7g6 f7f5 g8e7
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 5 | e1g1 d2d3 d1e2 b1c3 a4c6
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 3 5 | f8e7 f8c5 f6e4 b7b5 d7d6
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 4 6 | d2d3 f1e1 a4c6 d1e2
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq - 0 6 | d7d6 b7b5
r1bqk2r/1pp1bppp/p1np1n2/4p3/B3P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq - 0 7 | c2c3 c2c4 a2a3
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3 | f8b4 c7c5 d7d5
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4 | d1c2 g1f3 e2e3 g2g3 f2f3 c1g5 c1d2
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N5/PPQ1PPPP/R1B1KBNR b KQkq - 3 4 | e8g8 d7d5 c7c5 b7b6 d7d6
rnbq1rk1/pppp1ppp/4pn2/8/1bPP4/2N5/PPQ1PPPP/R1B1KBNR w KQ - 4 5 | c1g5 a2a3 g1f3 e2e4
rnbq1rk1/pppp1ppp/4pn2/6B1/1bPP4/2N5/PPQ1PPPP/R3KBNR b KQ - 5 5 | c7c5
rnbq1rk1/pp1p1ppp/4pn2/2p3B1/1bPP4/2N5/PPQ1PPPP/R3KBNR w KQ - 0 6 | d4c5
rnbq1rk1/pp1p1ppp/4pn2/2P3B1/1bP5/2N5/PPQ1PPPP/R3KBNR b KQ - 0 6 | d8a5
rnb2rk1/pp1p1ppp/4pn2/q1P3B1/1bP5/2N5/PPQ1PPPP/R3KBNR w KQ - 1 7 | g5d2
rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2 | d2d4
rnbqkbnr/pppppp1p/6p1/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2 | f8g7 c7c6 d7d6
rnbqk1nr/ppppppbp/6p1/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3 | b1c3 g1f3
rnbqk1nr/ppppppbp/6p1/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 2 3 | d7d6 d7d5 c7c6
rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4 | c1e3 g1f3
rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N1B3/PPP2PPP/R2QKBNR b KQkq - 1 4 | a7a6 e7e6 c7c6 g8f6
rnbqk1nr/1pp1ppbp/p2p2p1/8/3PP3/2N1B3/PPP2PPP/R2QKBNR w KQkq - 0 5 | a2a4 f2f4 h2h4
rnbqk1nr/1pp1ppbp/p2p2p1/8/P2PP3/2N1B3/1PP2PPP/R2QKBNR b KQkq - 0 5 | g8f6 h7h6
rnbqk2r/1pp1ppbp/p2p1np1/8/P2PP3/2N1B3/1PP2PPP/R2QKBNR w KQkq - 1 6 | h2h3 g1f3 f2f3
rnbqk2r/1pp1ppbp/p2p1np1/8/P2PP3/2N1B2P/1PP2PP1/R2QKBNR b KQkq - 0 6 | e8g8
rnbq1rk1/1pp1ppbp/p2p1np1/8/P2PP3/2N1B2P/1PP2PP1/R2QKBNR w KQ - 1 7 | g2g4
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 5 4 | f6e4 f8c5
r1bqkb1r/pppp1ppp/2n5/1B2p3/4n3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 5 | d2d4 f1e1
r1bqkb1r/pppp1ppp/2n5/1B2p3/3Pn3/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 5 | e4d6 a7a6
r1bqkb1r/pppp1ppp/2nn4/1B2p3/3P4/5N2/PPP2PPP/RNBQ1RK1 w kq - 1 6 | b5c6 d4e5
r1bqkb1r/pppp1ppp/2Bn4/4p3/3P4/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 6 | d7c6
r1bqkb1r/ppp2ppp/2pn4/4p3/3P4/5N2/PPP2PPP/RNBQ1RK1 w kq - 0 7 | d4e5
rnbqkbnr/pp1ppppp/8/2p5/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 0 2 | g2g3 b1c3 g1f3
